District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Winner,Winning Party,Lost By Votes,Lost By (percentage)
Nizamabad,Nizamabad (Rural),GEN,DHARMAPURI SRINIVAAS,M,GEN,66,INC,51560,GOVERDHAN BAJI REDDY,TRS,26547,33.98799083
Nizamabad,Balkonda,GEN,ANIL KUMAR ERAVATRI,M,GEN,39,INC,32897,VEMULA PRASHANTH REDDY,TRS,36248,52.4231687
Karimnagar,Koratla,GEN,JUVVADI NARSINGA RAO,M,GEN,52,IND,38305,KALVAKUNTLA VIDYA SAGAR RAO,TRS,20585,34.95500085
Karimnagar,Jagtial ,GEN,DR. M.SANJAY KUMAR,M,GEN,51,TRS,54788,JEEVAN REDDY THATIPARTHI,INC,7828,12.50159704
Karimnagar,Dharmapuri,SC,ADLURI LAXMAN KUMAR,M,SC,48,INC,49157,KOPPULA ESHWAR,TRS,18679,27.53552686
Karimnagar,Ramagundam,GEN,KORUKANTI CHANDER,M,GEN,42,AIFB,33494,SOMARAPU SATYANARAYANA,TRS,2295,6.412584872
Karimnagar,Manthani,GEN,DUDDILLA SRIDHAR BABU,M,GEN,45,INC,64677,PUTTA MADHUKAR,TRS,19360,23.03747159
Karimnagar,Peddapalle,GEN,T. BHANU PRASAD RAO,M,GEN,47,INC,33543,MANOHAR REDDY DASARI,TRS,62677,65.13926419
Karimnagar,Karimnagar ,GEN,BANDI SANJAY KUMAR,M,GEN,43,BJP,52455,GANGULA KAMALAKAR,TRS,24754,32.06102915
Karimnagar,Choppadandi ,SC,SUDDALA DEVAIAH,M,SC,58,INC,31860,BODIGA SHOBHA,TRS,54981,63.31226034
Karimnagar,Vemulawada,GEN,AADI SRINIVAS,M,GEN,48,BJP,53146,RAMESH CHENNAMANENI,TRS,5268,9.018386003
Karimnagar,Sircilla,GEN,KONDURU RAVINDER RAO,M,GEN,62,INC,39131,K.TARAKARAMA RAO (KTR),TRS,53004,57.52862647
Karimnagar,Manakondur ,SC,AREPALLI MOHAN,M,SC,51,INC,38088,RASAMAI BALAKISHAN,TRS,46922,55.19585931
Karimnagar,Huzurabad,GEN,KETHIRI SUDARSHAN REDDY,M,GEN,57,INC,38278,EATALA RAJENDER,TRS,57037,59.84052877
Karimnagar,Husnabad,GEN,ALIGIREDDY PRAVEEN REDDY,M,GEN,55,INC,62248,VODITHELA SATHISH KUMAR,TRS,34269,35.50566221
Medak,Siddipet,GEN,TADURI SRINIVAS GOUD,M,GEN,44,INC,15371,THANNEERU HARISH RAO,TRS,93328,85.85911554
Medak,Medak,GEN,VIJAYA SHANTHI. M,F,GEN,48,INC,50054,M.PADMA DEVENDER REDDY,TRS,39600,44.16980837
Medak,Narayankhed,GEN,MAHAREDDY BHUPAL REDDY,M,GEN,50,TRS,47601,PATLOLLA KISHTA REDDY,INC,14746,23.65149887
Medak,Andole ,SC,C.DAMODAR RAJANARSIMHA,M,SC,55,INC,83796,BABUMOHANPALLY,TRS,3291,3.778979641
Medak,Narsapur,GEN,VAKITI SUNITHA,F,GEN,46,INC,71673,CHILUMULA MADAN REDDY,TRS,14217,16.55256724
Medak,Zahirabad ,SC,KONINTY MANIK RAO,M,SC,61,TRS,56716,DR. JETTY GEETA,INC,842,1.462872233
Medak,Sangareddy,GEN,JAYAPRAKASH REDDY .T,M,GEN,48,INC,53338,CHINTA PRABHAKAR,TRS,29522,35.62877142
Medak,Patancheru,GEN,M SAPANADEV,M,GEN,40,TDP,55100,GUDEM  MAIPAL REDDY,TRS,18886,25.52645095
Medak,Dubbak,GEN,CHERUKU MUTHYAM REDDY,M,GEN,72,INC,44306,SOLIPTETA RAMA LINGA REDDY,TRS,37925,46.12007637
Medak,Gajwel,GEN,PRATAP REDDY VANTERU,M,GEN,51,TDP,67303,KALVAKUNTLA CHANDRASHEKAR RAO,TRS,19391,22.36717651
Rangareddy,Medchal,GEN,THOTAKURA JANGAIAH YADAV,M,GEN,46,TDP,70780,MALIPEDHI SUDHEER REDDY,TRS,43455,38.04000525
Rangareddy,Malkajgiri,GEN,RAM CHANDER RAO. N,M,GEN,54,BJP,74364,C. KANAKA REDDY,TRS,2768,3.588653218
Rangareddy,Quthbullapur,GEN,K HANMANTH REDDY,M,GEN,48,TRS,75339,K.P. VIVEKANAND,TDP,39024,34.12292437
Rangareddy,Kukatpally,GEN,G. PADMA RAO,M,GEN,59,TRS,56688,MADHAVARAM KRISHNA RAO,TDP,43186,43.24048301
Rangareddy,Uppal,GEN,BETHI SUBHAS REDDY,M,GEN,50,TRS,68226,NVSS PRABHAKAR,BJP,14169,17.19643182
Rangareddy,Ibrahimpatnam,GEN,MALREDDY RAMREDDY,M,GEN,55,IND,37341,MANCHIREDDY KISHAN REDDY,TDP,11056,22.84439118
Rangareddy,Lal Bahadur Nagar,GEN,MUDDAGOWNI RAM MOHAN GOUD,M,GEN,44,TRS,71791,RYAGA KRISHNAIAH,TDP,12525,14.85483182
Rangareddy,Maheshwaram,GEN,MALREDDY RANGA REDDY,M,GEN,57,INC,62521,TEEGALA KRISHNA REDDY,TDP,30784,32.99287284
Rangareddy,Rajendranagar,GEN,GNANESHWAR,M,GEN,49,INC,51962,T.PRAKASH GOUD,TDP,25881,33.24769086
Rangareddy,Serilingampally,GEN,KOMARAGONI SHANKER GOUD,M,GEN,60,TRS,53539,AREKAPUDI GANDHI,TDP,76257,58.75142531
Rangareddy,Chevella ,SC,KORANI SAYANNA RATNAM,M,SC,56,TRS,63401,KALE YADAIAH,INC,781,1.216852077
Rangareddy,PARGI,GEN,KOPPULA HARISHWAR REDDY,M,GEN,67,TRS,62935,TAMMANNAGARI RAM MOHAN REDDY,INC,5163,7.581720462
Rangareddy,Vikarabad,SC,G.PRASAD KUMAR,M,SC,49,INC,54520,B.SANJEEVA RAO,TRS,10072,15.59326232
Rangareddy,Tandur,GEN,MALKUD NARAYAN RAO,M,GEN,61,INC,45219,P. MAHENDER REDDY,TRS,16074,26.22485439
Hyderabad,Musheerabad,GEN,MUTA GOPAL,M,GEN,61,TRS,37823,DR.K LAXMAN,BJP,27386,41.99727032
Hyderabad,Malakpet,GEN,B. VENKAT REDDY,M,GEN,56,BJP,35713,AHMED BIN ABDULLAH BALALA,AIMIM,23263,39.44485893
