District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
SHIMOGA ,Sorab,GEN,H.HALAPPA,M,GEN,52,KJP,37316,2,S.MADHU BANGARAPPA,JD(S),21225,36.26
SHIMOGA ,Sagar,GEN,B.R. JAYANTH,M,GEN,63,KJP,30712,2,KAGODU THIMMAPPA,INC,41248,57.32
UDUPI,Byndoor,GEN,B.M. SUKUMAR SHETTY,M,GEN,61,BJP,51128,2,K.GOPALA POOJARY,INC,31149,37.86
UDUPI,Kundapura,GEN,MALLYADI SHIVARAMA SHETTY,M,GEN,58,INC,39952,2,HALADY SRINIVASA SHETTY,IND,40611,50.41
UDUPI,Udupi,GEN,B. SUDHAKAR SHETTY,M,GEN,62,BJP,47344,2,PRAMOD MADHWARAJ,INC,39524,45.50
UDUPI,Kapu,GEN,LALAJI R.MENDON,M,GEN,53,BJP,50927,2,VINAY KUMAR SORAKE,INC,1855,3.51
UDUPI,Karkal,GEN,H.GOPAL BHANDARY,M,GEN,62,INC,60785,2,V.SUNILL KUMAR,BJP,4254,6.54
CHIKMAGALUR ,Sringeri,GEN,T.D. RAJE GOWDA,M,GEN,54,INC,54950,2,D.N. JEEVARAJ,BJP,3452,5.91
CHIKMAGALUR ,Mudigere,SC,B.N. CHANDRAPPA,M,SC,51,INC,31782,2,B.B. NINGAIAH,JD(S),635,1.96
CHIKMAGALUR ,Chikmagalur,GEN,K S SHANTHE GOWDA,M,GEN,57,INC,47695,2,C T RAVI,BJP,10988,18.72
CHIKMAGALUR ,Tarikere,GEN,D.S SURESH,M,GEN,45,KJP,34918,2,G.H SRINIVASA,INC,899,2.51
CHIKMAGALUR ,Kadur,GEN,BELLI  PRAKASH,M,GEN,48,KJP,26300,2,Y.S.V.DATTA,JD(S),42433,61.74
TUMKUR ,Chiknayakanhalli,GEN,J.C.MADHUSWAMY,M,GEN,60,KJP,49620,2,C.B.SURESHBABU,JD(S),11139,18.33
TUMKUR ,Tiptur,GEN,B.C.NAGESH,M,GEN,53,BJP,45215,2,K.SHADAKSHARI,INC,11602,20.42
TUMKUR ,Turuvekere,GEN,MASALA JAYARAM,M,GEN,45,KJP,57164,2,M.T.KRISHNAPPA,JD(S),8925,13.50
TUMKUR ,Kunigal,GEN,D.KRISHNAKUMAR,M,GEN,56,BJP,34943,2,D. NAGARAJAIAH,JD(S),9632,21.61
TUMKUR ,Tumkur City,GEN,G.B. JYOTHI GANESH,M,GEN,38,KJP,40073,2,DR. RAFEEQ AHMED S.,INC,3608,8.26
TUMKUR ,Tumkur Rural,GEN,GOWRISHANKAR.D.C.,M,GEN,36,JD(S),53457,2,B.SURESH GOWDA,BJP,1572,2.86
TUMKUR ,Koratagere,SC,DR. G.PARAMESHWARA,M,SC,62,INC,54074,2,SUDHAKARA LAL .P.R,JD(S),18155,25.14
TUMKUR ,Gubbi,GEN,G.N. BETTASWAMY,M,GEN,54,KJP,51539,2,S R SHRINIVAS (VASU),JD(S),7244,12.32
TUMKUR ,Sira,GEN,B.SATHYANARAYANA,M,GEN,60,JD(S),59408,2,T B JAYACHANDRA,INC,14681,19.82
TUMKUR ,Pavagada,SC,H.V.VENKATESH,M,SC,35,INC,63823,2,K.M.THIMMARAYAPPA,JD(S),4863,7.08
TUMKUR ,Madhugiri,GEN,M.V.VEERABHADRAIAH,M,GEN,58,JD(S),60659,2,KYATASANDRA N.RAJANNA,INC,14427,19.21
CHIKKABALLAPUR ,Gauribidanur,GEN,K JAIPALA REDDY,M,GEN,35,IND,44056,2,N H SHIVASHANKARA REDDY,INC,6075,12.12
CHIKKABALLAPUR ,Bagepalli,GEN,SRIRAMAREDDY G.V,M,GEN,61,CPM,35472,2,S.N SUBBAREDDY(CHINNAKAYALAPALLI),IND,30755,46.44
CHIKKABALLAPUR ,Chikkaballapur,GEN,K P BACHEGOWDA,M,GEN,58,JD(S),59866,2,DR. K SUDHAKAR,INC,15048,20.09
CHIKKABALLAPUR ,Sidlaghatta,GEN,V. MUNIYAPPA,M,GEN,66,INC,62452,2,M. RAJANNA,JD(S),15479,19.86
CHIKKABALLAPUR ,Chintamani,GEN,DR. M.C. SUDHAKAR,M,GEN,44,IND,67254,2,J.K.KRISHNAREDDY,JD(S),1696,2.46
KOLAR,Srinivaspur,GEN,G.K.VENKATASHIVAREDDY,M,GEN,65,JD(S),79533,2,K.R.RAMESHKUMAR,INC,3893,4.67
KOLAR,Mulbagal,SC,N. MUNIANJAPPA,M,SC,57,JD(S),39412,2,G.MANJUNATHA,IND,33734,46.12
KOLAR,Kolar gold field,SC,M. BACKTHAVACHALAM,M,SC,65,JD(S),28992,2,RAMAKKA .Y,BJP,26022,47.30
KOLAR,Bangarapet,SC,EM NARAYANASWAMY,M,SC,60,BJP,43193,2,S.N.NARAYANASWAMY.K.M,INC,28377,39.65
